English,Polish
the,ten
and,oraz
to,do
of,z
a,a
in,w
is,jest
that,że
for,dla
I,ja
you,ty
it,to
with,z
on,na
as,jak
are,są
be,być
this,ten
was,było
have,mieć
or,lub
at,w
not,nie
your,Twój
from,z
we,my
by,za pomocą
will,Wola
can,Móc
but,ale
they,oni
an,jakiś
he,on
all,wszystko
has,ma
if,Jeśli
their,ich
one,jeden
do,robić
more,jeszcze
n't,nie
my,mój
his,jego
so,więc
there,tam
about,o
which,który
when,gdy
what,Co
out,na zewnątrz
up,w górę
our,nasz
who,który
also,także
had,miał
time,czas
some,Niektóre
would,zrobiłbym
were,był
like,lubić
been,być
just,właśnie
her,ją
new,Nowy
other,inny
them,im
she,Ona
people,ludzie
these,te
no,nie
get,dostwać
how,Jak
me,ja
into,do
than,niż
only,tylko
its,jego
most,bardzo
may,maj
any,każdy
many,wiele
make,robić
then,następnie
well,dobrze
first,pierwszy
very,bardzo
over,nad
now,teraz
could,mógł
after,po
even,parzysty
because,ponieważ
us,nas
said,powiedział
good,dobry
way,sposób
two,dwa
should,powinnam
work,Praca
use,posługiwać się
through,Poprzez
see,zobaczyć
know,wiedzieć
did,zrobił
much,dużo
where,gdzie
years,Lata
need,potrzebować
him,jego
back,plecy
such,taki
those,te
being,istnienie
day,dzień
take,Brać
while,podczas
here,tutaj
before,przed
does,czy
great,Świetnie
year,rok
go,wybrać się
help,Wsparcie
want,chcieć
really,naprawdę
think,myśleć
best,Najlepsza
life,życie
each,każdy
made,zrobiony
right,Prawidłowy
world,świat
business,biznes
home,Dom
own,własny
down,w dół
still,nadal
used,używany
find,odnaleźć
around,na około
going,pójście
every,każdy
both,Zarówno
last,ostatni
off,wyłączony
too,także
same,To samo
information,Informacja
little,mały
another,inne
look,Popatrz
few,mało
long,długie
part,część
since,odkąd
things,rzeczy
place,miejsce
am,jestem
between,pomiędzy
during,w trakcie
different,różne
must,musi
come,chodź
using,za pomocą
however,Jednakże
without,z pominięciem
high,wysoka
why,Czemu
something,coś
online,online
system,system
better,lepszy
three,trzy
never,nigdy
always,zawsze
love,kocham
say,mowić
might,móc
next,Następny
company,Spółka
state,stan
number,numer
again,ponownie
free,darmowy
lot,działka
under,pod
family,rodzina
found,znaleziony
within,w ciągu
give,dawać
set,ustawić
school,Szkoła
important,ważny
water,woda
able,zdolny
keep,trzymać
got,dostał
sure,Jasne
end,kończyć się
money,pieniądze
service,usługa
small,mały
put,położyć
experience,doświadczenie
having,mający
once,pewnego razu
available,do dyspozycji
health,zdrowie
support,Pomoc
often,często
including,łącznie z
days,dni
away,z dala
old,stary
area,powierzchnia
feel,czuć
read,czytać
show,pokazać
big,duża
against,przeciwko
thing,rzecz
order,zamówienie
program,program
though,pomimo
city,Miasto
group,Grupa
services,Usługi
site,Strona
making,zrobienie
course,kierunek
point,punkt
children,dzieci
times,czasy
team,zespół
game,gra
along,przed siebie
let,pozwolić
house,Dom
today,Dziś
body,ciało
working,pracujący
case,Obudowa
man,facet
real,prawdziwy
provide,dostarczać
care,opieka
public,publiczny
top,szczyt
looking,patrzeć
several,kilka
start,początek
less,mniej
process,proces
become,zostać
actually,faktycznie
local,lokalny
together,razem
person,osoba
change,reszta
book,książka
enough,wystarczająco
getting,dostawanie
week,tydzień
power,moc
until,dopóki
market,rynek
fact,fakt
god,Pan Bóg
food,jedzenie
students,uczniowie.
full,pełny
women,kobiety
community,społeczność
name,Nazwa
second,druga
data,dane
government,rząd
says,mówi
others,inni
ever,zawsze
yet,już
research,Badania
done,Gotowe
left,lewo
far,daleko
large,duży
called,nazywa
doing,czyn
already,już
development,rozwój
social,społeczny
open,otwarty
possible,możliwy
side,Strona
play,bawić się
means,znaczy
needs,wymagania
try,próbować
came,wszedł
ca,ca.
based,na podstawie
hard,twardy
thought,myśl
products,produkty
national,krajowy
quality,jakość
level,poziom
live,na żywo
design,projekt
makes,sprawia
project,projekt
line,linia
night,noc
least,najmniej
whether,czy
job,stanowisko
car,samochód
example,przykład
include,włączać
following,Następny
given,dany
website,Strona internetowa
past,przeszłość
plan,plan
offer,oferta
buy,kupić
call,połączenie
went,poszedł
simply,po prostu
hand,ręka
music,muzyka
easy,łatwo
problem,problem
men,mężczyźni
country,kraj
took,wzięła
four,cztery
members,członkowie
form,Formularz
personal,osobisty
control,kontrola
energy,energia
room,Pokój
head,głowa
pay,płacić
create,Stwórz
run,biegać
kind,uprzejmy
credit,kredyt
almost,prawie
believe,uwierzyć
quite,całkiem
mind,umysł
law,prawo
early,wczesny
comes,pochodzi
states,Stany
usually,zwykle
companies,Firmy
web,sieć
taking,nabierający
started,zaczęła się
later,później
although,Chociaż
story,fabuła
per,za
future,przyszły
known,znany
someone,ktoś
across,przez
rather,raczej
young,młody
whole,cały
special,specjalny
everything,wszystko
months,miesiące
anything,wszystko
training,szkolenie
url,URL.
bit,fragment
seen,widziany
product,produkt
american,amerykański
please,Proszę
management,kierownictwo
cost,koszt
either,albo
light,lekki
university,Uniwersytet
face,Twarz
due,należny
nothing,nic
human,człowiek
event,wydarzenie
history,historia
probably,prawdopodobnie
friends,przyjaciele
learn,uczyć się
current,obecny
tell,powiedzieć
general,ogólny
price,Cena £
list,lista
type,rodzaj
building,budynek
industry,przemysł
bad,zły
check,sprawdzać
everyone,wszyscy
office,Biuro
idea,pomysł
internet,Internet
news,Aktualności
million,milion
video,wideo
among,wśród
air,powietrze
especially,zwłaszcza
told,powiedział
results,wyniki
post,Poczta
hours,godziny
international,międzynarodowy
center,środek
understand,Rozumiesz
above,nad
addition,dodatek
major,poważny
education,Edukacja
white,biały
particular,szczególny
problems,problemy
media,głoska bezdźwięczna
according,według
upon,od
page,strona
continue,kontyntynuj
black,czarny
study,badanie
issues,zagadnienia
inside,wewnątrz
technology,technologia
five,pięć
value,wartość
further,dalej
access,dostęp
reason,powód
short,niski
truth,prawda
simple,prosty
natural,naturalny
amount,ilość
search,Szukaj
result,wynik
taken,zajęty
main,Główny
heart,serce
space,przestrzeń
financial,budżetowy
ago,temu
trying,próbować
question,pytanie
living,żyjący
likely,prawdopodobne
interest,zainteresowanie
various,różny
insurance,ubezpieczenie
common,pospolity
move,ruszaj się
child,dziecko
yourself,się
report,raport
certain,pewny
share,udział
single,pojedynczy
close,blisko
instead,zamiast
bring,przynieść
works,Pracuje
age,wiek
s,s
season,pora roku
hope,mieć nadzieję
coming,nadchodzący
areas,obszary
ask,zapytać się
medical,medyczny
low,Niska
games,Gry
turn,zakręt
key,klucz
party,impreza
add,Dodaj
month,miesiąc
seems,wydaje się
view,pogląd
fun,zabawa
matter,materiał
words,słowa
needed,potrzebne